brand,model,color,bluetooth,battery,ratings,last_month_sales,price,mrp_price,discount,delivery_type,delivery
boAt,Airdopes Plus 311,Charcoal Black,5.3,50,3.8,5000,7990,39900,80,fastest delivery,free delivery
Fire-Boltt,Unknown,Unknown,5.4,50,4.2,5000,7990,89990,91,fastest delivery,free delivery
boAt,Airdopes 131 Gen 2,Ice Blue,5.3,70,3.9,1000,7990,29900,73,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Black,5.3,34,4.2,0,5980,28990,79,fastest delivery,free delivery
boAt,Airdopes 219,Unknown,5.3,40,3.9,4000,10990,39900,72,fastest delivery,free delivery
boAt,Airdopes Plus 311,Charcoal Black,5.3,50,3.8,5000,7990,39900,80,fastest delivery,free delivery
boAt,Airdopes Joy,Jet Black,5.3,35,3.8,0,7990,34900,77,fastest delivery,free delivery
boAt,Airdopes 311 Pro,Active Black,5.3,50,3.7,4000,7990,49900,84,fastest delivery,free delivery
Kratos,Cube Ear Buds Wireless,Unknown,5.3,30,3.9,0,4990,29990,83,fastest delivery,free delivery
Fire-Boltt,Unknown,Unknown,5.4,50,4.2,5000,7990,89990,91,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Truke,[2025] Mega 7,Brown,5.3,60,4.3,1000,9990,34990,71,fastest delivery,free delivery
ZEBRONICS,Zeb-Sound Bomb 1,Blue,5.0,12,3.6,0,5990,24990,76,fastest delivery,free delivery
boAt,Airdopes 219,Unknown,5.3,40,3.9,5000,9990,39900,75,fastest delivery,free delivery
boAt,Airdopes 313,Green,5.3,75,4.0,0,10990,39900,72,fastest delivery,free delivery
Oneplus,Nord Buds 3,Blue,5.3,11,4.2,7000,19990,27990,29,fastest delivery,free delivery
JBL,Wave Buds 2 Ear Buds Wireless,Black,5.3,40,3.5,1000,27980,69990,60,fastest delivery,free delivery
Noise,Buds Trance in-Ear,Blue,5.3,45,4.0,1000,9990,24990,60,fastest delivery,free delivery
Oneplus,Nord Buds 3r,Black,5.3,54,4.2,8000,16990,19990,15,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Grey,5.3,34,4.2,1000,5980,28990,79,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
BOULT,GOBOULT Formerly Astra,Black,5.3,48,4.1,1000,10990,34990,69,fastest delivery,free delivery
Noise,Pure Pods Wireless Open Ear Earbuds,Black,5.3,80,3.4,0,29990,69990,57,fastest delivery,free delivery
Noise,Buds N1,Ice Blue,5.3,40,3.9,2000,11990,34990,66,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Grey,5.3,34,4.2,1000,5980,28990,79,fastest delivery,free delivery
Oneplus,Nord Buds 2r,Grey,5.3,38,4.2,7000,15990,22990,30,fastest delivery,free delivery
BOULT,GOBOULT Formerly W60,Black,5.3,60,4.3,1000,7990,19990,60,fastest delivery,free delivery
Realme,Buds T200x,Black,5.4,48,4.0,4000,12990,24990,48,fastest delivery,free delivery
boAt,Airdopes Plus 311,Black,5.3,50,3.8,2000,7990,39900,80,fastest delivery,free delivery
Leaf,Buds X334,Unknown,5.4,40,4.2,300,5990,29990,80,fastest delivery,free delivery
JBL,Vibe Beam in-Ear Wireless Earbuds TWS,Black,5.3,32,3.6,1000,19980,59990,67,fastest delivery,free delivery
Hammer,Ultra Pods,Blue,5.3,100,3.3,400,5990,34990,83,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
BOULT,GOBOULT Formerly K40,White,5.3,48,3.9,500,8990,29990,70,fastest delivery,free delivery
Noise,Buds VS104,Green,5.2,45,3.8,2000,7990,34990,77,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Blue,5.3,100,3.7,500,11990,49900,76,fastest delivery,free delivery
Noise,Buds VS601,Copper,5.3,50,3.8,1000,13990,39990,65,fastest delivery,free delivery
Realme,Buds T310,Black,5.3,40,4.2,7000,17850,39990,55,Unknown,free delivery
pTron,Bassbuds Spark in-Ear,Black,5.3,40,4.0,5000,5980,19990,70,fastest delivery,free delivery
boAt,Airdopes 101v2,Black,2.0,35,3.8,500,7990,39900,80,Unknown,free delivery
Samsung,Galaxy Buds Core Black Galaxy AI Enabled in-Ear,Black,5.3,35,3.9,5000,38990,99990,61,Unknown,free delivery
JBL,Wave Beam 2 Ear Buds Wireless,Black,5.3,40,3.4,0,34980,74990,53,fastest delivery,free delivery
Fire-Boltt,Unknown,Unknown,5.4,50,4.2,5000,7990,89990,91,fastest delivery,free delivery
BOULT,GOBOULT Formerly W20,Blue,5.3,40,3.9,0,7790,24990,69,fastest delivery,free delivery
Noise,Pure Pods Wireless Open Ear Earbuds,Beige,5.3,80,3.4,200,29990,69990,57,fastest delivery,free delivery
Noise,Buds N1,Beige,5.3,40,3.9,1000,11990,34990,66,fastest delivery,free delivery
Oneplus,Buds 4,Gray,5.3,45,4.3,3000,56990,64990,12,fastest delivery,free delivery
boAt,Airdopes 141 Elite ANC 2025,Green,5.3,42,3.8,300,12990,59900,78,fastest delivery,free delivery
boAt,Airdopes Ultra Plus,Blue,5.3,50,4.0,200,7990,49900,84,fastest delivery,free delivery
Sennheiser,Momentum,Unknown,5.3,28,3.5,0,126990,249900,49,fastest delivery,free delivery
Bose,New Quietcomfort Ultra Wireless Noise Cancelling,Black,5.3,49,3.7,50,199900,259000,23,fastest delivery,free delivery
boAt,Airdopes 800,Black,5.3,49,4.0,0,13990,64900,78,fastest delivery,free delivery
Samsung,Galaxy Buds3 FE Black,Black,5.3,49,3.4,50,129990,149990,13,fastest delivery,free delivery
Noise,Air Clips Wireless Open Ear Earbuds,Black,5.4,40,3.4,500,19990,39990,50,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
Open,Ear Buds,Unknown,5.3,40,4.8,200,28990,2899000,42,fastest delivery,free delivery
boAt,Nirvana Zenith Pro 2025,Gold,5.3,80,4.0,500,26990,149900,82,fastest delivery,free delivery
TOZO,T6,Pink,5.3,3,3.9,0,19800,69990,72,fastest delivery,free delivery
BOULT,GOBOULT Formerly W20,Blue,5.3,40,3.9,0,7790,24990,69,fastest delivery,free delivery
JBL,Tune Beam 2 TWS,White,5.3,48,3.8,100,54980,89990,39,fastest delivery,free delivery
JBL,Live Beam 3 TWS,Black,5.3,48,3.9,0,99980,249990,60,fastest delivery,free delivery
JBL,Live Buds 3 TWS,Blue,5.3,40,3.9,0,79980,249990,68,Unknown,free delivery
BOULT,GOBOULT Formerly Z60 Made,Blue,5.3,60,3.8,2000,7990,29990,73,fastest delivery,free delivery
BOULT,GOBOULT Formerly Z60 Made,Blue,5.3,60,3.8,2000,7990,29990,73,fastest delivery,free delivery
BOULT,GOBOULT Formerly W20,Black,5.3,40,3.9,500,7990,24990,68,fastest delivery,free delivery
Noise,Buds N1,Forest Green,5.3,40,3.9,1000,11990,34990,66,fastest delivery,free delivery
Truke,Buds Elite,Black,5.4,70,4.0,4000,5990,599000,74,fastest delivery,free delivery
Noise,Buds VS501,Forest Green,5.3,50,3.1,200,7990,29990,73,fastest delivery,free delivery
boAt,Airdopes 91,Active Black,5.3,45,3.4,500,7990,49900,84,fastest delivery,free delivery
BOULT,GOBOULT Formerly Astra Neo,Black,5.4,70,4.1,2000,9990,34990,71,fastest delivery,free delivery
Oneplus,Bullets Z2,Black,5.3,20,4.1,8000,15990,22990,30,fastest delivery,free delivery
Portronics,Harmonics Twins S16,Black,5.3,24,3.9,500,6990,19990,65,fastest delivery,free delivery
MIVI,SuperPods Immersio[Flagship ] | Dolby Audio,Unknown,5.4,60,3.6,1000,19990,64990,69,fastest delivery,free delivery
Realme,Buds Air 7,Purple,5.4,52,4.3,700,27990,49990,44,fastest delivery,free delivery
JBL,Live Buds 3 TWS,Blue,5.3,40,3.9,0,79980,249990,68,Unknown,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Noise,Pure Pods Wireless Open Ear Earbuds,Black,5.3,80,3.4,0,29990,69990,57,fastest delivery,free delivery
Open,Ear Buds,Unknown,5.3,40,4.8,200,28990,2899000,42,fastest delivery,free delivery
boAt,Nirvana Space,Blue,5.3,100,4.0,200,24990,84990,71,fastest delivery,free delivery
Philips,TAT1108BK/00,Black,5.3,15,4.6,0,19490,35990,46,fastest delivery,free delivery
Soundcore,R50I NC by Anker Noise Cancelling,Unknown,5.4,45,4.0,0,14990,55980,73,fastest delivery,free delivery
Noise,Buds VS404,White,5.3,50,4.0,500,9990,34990,71,fastest delivery,free delivery
Sony,WF-C710NSA | Dual Noise Cancellation Wireless,Black,5.3,40,3.8,200,74900,129900,42,fastest delivery,free delivery
Sennheiser,ACCENTUM Open,Black,5.3,28,3.8,0,79890,7989000,38,fastest delivery,free delivery
JBL,Tune Flex 2 TWS,Black,5.3,48,3.6,50,59980,99990,40,fastest delivery,free delivery
Hammer,Aura 32dB ANC,Beige,6.0,50,3.9,100,9990,24990,60,fastest delivery,free delivery
BOULT,GOBOULT Formerly W20,Green,5.3,35,3.9,400,7990,24990,68,fastest delivery,free delivery
pTron,Bassbuds Gomax in-Ear,Green,5.3,36,2.8,300,5980,28990,79,fastest delivery,free delivery
Hoppup,Xo6 Gaming Earbuds,Black,5.3,50,3.9,0,8990,49990,82,fastest delivery,free delivery
Philips,TAT1108BK/00,Black,5.3,15,4.6,0,19490,35990,46,fastest delivery,free delivery
JBL,Tune Beam 2 TWS,White,5.3,48,3.8,100,54980,89990,39,fastest delivery,free delivery
JBL,Tune Flex 2 TWS,Black,5.3,48,3.6,50,59980,99990,40,fastest delivery,free delivery
boAt,Airdopes 800,Black,5.3,49,4.0,0,13990,64900,78,fastest delivery,free delivery
Noise,Buds VS501,Forest Green,5.3,50,3.1,200,7990,29990,73,fastest delivery,free delivery
boAt,Airdopes 91,Active Black,5.3,45,3.4,500,7990,49900,84,fastest delivery,free delivery
Portronics,Harmonics Twins S16,Black,5.3,24,3.9,500,6990,19990,65,fastest delivery,free delivery
Truke,[2025] Mega 7,Brown,5.3,60,4.3,1000,9990,34990,71,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Earfun,Air Pro 4 Hybrid Adaptive Noise Canceling Wireless Earbuds,Black,5.4,4,4.4,0,72980,104980,30,fastest delivery,free delivery
Noise,Aura Buds,Black,5.3,60,3.9,400,14990,44990,67,fastest delivery,free delivery
Noise,Buds VS404,White,5.3,50,4.0,500,9990,34990,71,fastest delivery,free delivery
Sony,WF-C510 Wireless,Black,5.3,22,3.9,500,41490,89900,54,fastest delivery,free delivery
Crossbeats,Arc Buds OWS Open Ear Wireless Earbuds | Spatial Audio Headphones & Head Tracking | Gaming,Black,5.3,100,3.9,200,39990,99990,60,fastest delivery,free delivery
Sony,WF-C700N Noise Cancellation,Black,5.3,20,3.9,100,64900,129900,50,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
Hp,H150 Wireless Earbuds,Black,5.3,49,3.3,300,9050,24990,64,fastest delivery,free delivery
Amazon,basics,White,5.3,60,3.6,200,7210,24990,71,fastest delivery,free delivery
Amazon,basics,Blue,5.3,50,3.5,0,9190,24990,63,fastest delivery,free delivery
pTron,Tangent Rush w/ 50Hrs Playtime,Green,5.4,50,3.6,50,4990,17990,72,fastest delivery,free delivery
pTron,Bassbuds Revv in-Ear,Jet Black,5.3,28,2.8,100,5980,45990,87,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
boAt,Airdopes 91,Active Black,5.3,45,3.4,500,7990,49900,84,fastest delivery,free delivery
boAt,Nirvana Zenith Pro 2025,Gold,5.3,80,4.0,500,26990,149900,82,fastest delivery,free delivery
Sony,WF-C700N Noise Cancellation,Black,5.3,20,3.9,100,64900,129900,50,fastest delivery,free delivery
boAt,Airdopes 111v2,White,2.0,50,3.9,300,10990,49900,78,fastest delivery,free delivery
Noise,Master Buds,Unknown,5.3,44,3.9,500,65980,79990,18,fastest delivery,free delivery
Acwo,Dwots Sense OWS Wireless Over Ear Earphones|Situational Awareness|15Mm Titanium Drivers|65 Hours Playback|BT V5.4|Secure Fit|4 Mics,Silver,5.4,65,3.9,300,20990,69990,70,fastest delivery,free delivery
Portronics,Harmonics Twins S18,White,5.3,30,4.0,400,7190,19990,64,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
MIVI,DuoPods i2,Unknown,5.3,45,3.7,500,7990,29990,73,fastest delivery,free delivery
Hp,H150 Wireless Earbuds,Black,5.3,49,3.3,300,9050,24990,64,fastest delivery,free delivery
boAt,Nirvana Ivy,Black,5.3,49,3.8,400,24990,179900,86,fastest delivery,free delivery
Noise,Buds Verve 2 in-Ear,Beige,5.3,50,3.8,300,10990,39990,73,fastest delivery,free delivery
Sennheiser,MOMENTUM,Black,5.3,30,4.3,0,199890,299900,33,fastest delivery,free delivery
boAt,Nirvana Crystl,Red,5.3,100,4.0,200,19990,109900,82,fastest delivery,free delivery
TOZO,T6,Pink,5.3,3,3.9,0,19800,69990,72,fastest delivery,free delivery
Tagry,Wireless Sports Earbuds,Unknown,5.3,48,4.4,0,33990,33990,38,fastest delivery,free delivery
Amazon,basics,Blue,5.3,50,3.8,0,6560,24990,74,fastest delivery,free delivery
Honeywell,Moxie V1200,Black,1.0,26,3.7,0,9990,42990,77,fastest delivery,free delivery
Noise,Buds Trance in-Ear,White,5.3,45,4.0,500,9990,24990,60,fastest delivery,free delivery
Truke,Buds F1 Ultra,Black,5.3,60,3.8,700,7990,29990,73,fastest delivery,free delivery
Amazon,basics,White,5.3,60,3.6,200,7210,24990,71,fastest delivery,free delivery
BOULT,GOBOULT Formerly Astra,White,5.3,48,4.1,500,10990,34990,69,fastest delivery,free delivery
Realme,Buds Air 7,Purple,5.4,52,4.3,700,27990,49990,44,fastest delivery,free delivery
Truke,Buds Infinity Open Ear Wireless Earbuds,Jet Black,5.3,70,3.9,500,14990,39990,63,fastest delivery,free delivery
Sennheiser,MOMENTUM,Black,5.3,30,4.3,0,199890,299900,33,fastest delivery,free delivery
BOULT,GOBOULT Formerly Made,Ice Blue,5.3,50,3.9,300,7990,24990,68,fastest delivery,free delivery
Skullcandy,Dime Evo Wireless,Unknown,5.3,36,4.0,0,39990,199990,80,fastest delivery,free delivery
Nu,Republic Cyberstud X8,Silver,5.3,56,3.8,200,8990,29990,70,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Noise,Pure Pods Wireless Open Ear Earbuds,Black,5.3,80,3.4,0,29990,69990,57,fastest delivery,free delivery
Leaf,Buds X121,Carbon Black,5.4,30,4.1,0,8990,24990,64,fastest delivery,free delivery
boAt,Airdopes Beat,Black,5.3,35,5.0,50,11490,39900,71,fastest delivery,free delivery
Philips,TAT1209WT/00,White,5.3,18,4.0,0,14490,29990,52,fastest delivery,free delivery
Kratos,Wireless Earbuds,Unknown,5.3,49,2.8,0,51736,34990,85,fastest delivery,free delivery
pTron,Bassbuds GoMax In-Ear,Green,5.3,36,3.6,0,6990,28990,76,fastest delivery,free delivery
JBL,Tune Flex,Black,5.2,32,3.2,0,44990,89990,50,fastest delivery,free delivery
Noise,Buds N1 Pro,Purple,5.3,60,3.8,500,15990,49990,68,fastest delivery,free delivery
Bose,New QuietComfort Wireless Noise Cancelling Earbuds,White,5.3,5,3.8,0,129900,169000,23,fastest delivery,free delivery
Noise,Buds VS104,Green,5.2,45,3.8,2000,7990,34990,77,fastest delivery,free delivery
BOULT,GOBOULT Formerly Z40 Pro,Unknown,5.3,100,3.8,1000,11990,54990,78,fastest delivery,free delivery
Truke,Mega 9,Unknown,5.3,70,4.1,900,9990,39990,75,fastest delivery,free delivery
Truke,Aura Pro,Unknown,5.3,60,4.1,400,8990,899000,68,fastest delivery,free delivery
BOULT,GOBOULT Formerly Mustang Derby,Unknown,5.4,100,3.9,400,12990,59990,78,fastest delivery,free delivery
Samsung,Galaxy,Silver,5.3,37,4.1,200,143790,249990,42,fastest delivery,free delivery
Truke,Buds F1 Ultra,Black,5.3,60,3.8,700,7990,29990,73,fastest delivery,free delivery
Skullcandy,Dime 3,Black,5.3,49,3.3,0,24890,2489000,75,fastest delivery,free delivery
JBL,Tune Flex,Black,5.2,32,3.2,0,44990,89990,50,fastest delivery,free delivery
Truke,Buds Infinity Open Ear Wireless Earbuds,Jet Black,5.3,70,3.9,500,14990,39990,63,fastest delivery,free delivery
BOULT,GOBOULT Formerly Astra,Unknown,5.3,48,4.1,500,10990,34990,69,fastest delivery,free delivery
pTron,Bassbuds Zen,Black,6.0,55,4.5,0,8990,28990,69,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Truke,BTG Ultra,Unknown,5.4,60,3.9,300,7990,29990,73,fastest delivery,free delivery
Leaf,Buds X121,Carbon Black,5.4,30,4.1,0,8990,24990,64,fastest delivery,free delivery
Truke,Mega 9,Unknown,5.3,70,4.1,700,9990,39990,75,fastest delivery,free delivery
Wecool,Moonwalk M1 Pro Open Ear Earbuds Wireless,Unknown,5.4,60,4.0,300,18990,1899000,68,fastest delivery,free delivery
boAt,Airdopes Beat,Black,5.3,35,5.0,50,11490,39900,71,fastest delivery,free delivery
Truke,Crystal Bass,Black,5.4,70,3.9,700,7990,29990,73,fastest delivery,free delivery
Truke,Buds Aura,Unknown,5.4,70,3.8,200,7990,27990,71,fastest delivery,free delivery
BOULT,GOBOULT Formerly Klarity 4 ANC in-Ear,Jet Black,5.3,60,4.3,200,9990,34990,71,fastest delivery,free delivery
BOULT,GOBOULT Formerly Z20 Pro Made,Blue,5.3,60,4.0,1000,9990,59990,83,fastest delivery,free delivery
Truke,BTG Ultra,Unknown,5.4,60,3.9,300,7990,29990,73,fastest delivery,free delivery
Hoppup,Predator Xo7 Gaming Earbuds,Black,5.3,49,3.3,0,8990,899000,82,fastest delivery,free delivery
Hoppup,Predator Xo3 Gaming Earbuds,Black,5.3,50,3.8,0,7970,49990,84,fastest delivery,free delivery
Samsung,Galaxy,Silver,5.3,37,4.1,200,143790,249990,42,fastest delivery,free delivery
Wecool,Moonwalk M1 Pro Open Ear Earbuds Wireless,Unknown,5.4,60,4.0,300,18990,1899000,68,fastest delivery,free delivery
Truke,Buds F1 Ultra,Black,5.3,60,3.8,700,7990,29990,73,fastest delivery,free delivery
pTron,Bassbuds Zen,Black,6.0,55,4.5,0,8990,28990,69,fastest delivery,free delivery
Truke,Crystal Bass,Black,5.4,70,3.9,700,7990,29990,73,fastest delivery,free delivery
Hammer,Airflow Plus,Green,5.1,23,4.1,200,6990,49990,86,fastest delivery,free delivery
Acwo,Dwots 121 Wireless,Unknown,5.4,55,4.2,0,9490,35990,74,fastest delivery,free delivery
Truke,Buds Aura,Unknown,5.4,70,3.8,200,7990,27990,71,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Soundcore,V20I By Anker Open Ear Headphones,Unknown,2.0,36,4.1,0,19990,78990,75,fastest delivery,free delivery
Truke,Mega 8,Unknown,5.3,70,4.3,300,10990,1099000,73,fastest delivery,free delivery
MIVI,DuoPods i7,Unknown,5.3,49,3.7,50,9990,49990,80,fastest delivery,free delivery
Amazon,Basics,Black,5.4,36,3.9,500,6990,14990,53,fastest delivery,free delivery
Portronics,Harmonics Twins 31 Over Ear OWS Smart Wireless Earbuds,Beige,5.4,24,3.8,0,13790,29990,54,fastest delivery,free delivery
BOULT,GOBOULT Formerly Klarity 1,Black,5.4,80,3.6,0,8990,34990,74,fastest delivery,free delivery
Truke,Crystal Dyno Leather Finish,Unknown,5.3,70,4.1,500,8990,29990,70,fastest delivery,free delivery
